customer_id,age,tenure_months,contract_type,internet_service,tech_support,payment_method,monthly_charges,total_charges,num_support_calls,churn
2308,61.0,9.0, One year ,Fiber optic,No,Electronic check,81.77,719.08,0,0
2403,56.0,36.0,Month-to-month,DSL,Yes,Electronic check,79.17,3229.49,0,0
2195,52.0,1.0,Month-to-month,No,No,Mailed check,57.36,62.67,0,0
2436,,34.0,Month-to-month,Fiber optic,Yes,Mailed check,39.2,1219.32,0,0
1677,71.0,44.0,One year,DSL,No,Credit card,15.11,577.52,0,0
2355,18.0,6.0,Month-to-month,No,Yes,Bank transfer,91.0,500.91,1,0
2907,28.0,1.0, Month-to-month ,Fiber optic,No,Mailed check,48.71,50.87,0,1
1929,44.0,15.0,One year,DSL,No,Electronic check,42.55,578.94,1,0
2494,68.0,13.0,Two year,Fiber optic,No,Mailed check,88.91,1274.42,2,0
1236,18.0,38.0,Month-to-month,DSL,No,Credit card,35.6,1440.58,3,0
1503,53.0,13.0,Two year,DSL,No,Mailed check,70.54,962.67,1,0
1552,63.0,2.0,Month-to-month,Fiber optic,No,Credit card,74.53,141.22,2,1
2875,66.0,26.0,Month-to-month,Fiber optic,Yes,Mailed check,64.47,1454.19,1,0
2359,48.0,7.0,Two year,Fiber optic,No,Mailed check,75.86,592.36,4,0
1294,50.0,50.0,Two year,Fiber optic,No,Credit card,63.4,3545.78,1,0
1101,39.0,12.0, One year ,No,No,Bank transfer,85.99,1046.12,0,0
1332,46.0,8.0,Month-to-month,No,No,Mailed check,56.34,483.87,0,0
2434,42.0,5.0,Month-to-month,No,No,Mailed check,121.93,652.51,2,1
1642,41.0,7.0,Month-to-month,DSL,No,Electronic check,49.73,364.18,2,0
2591,18.0,16.0,Month-to-month,DSL,Yes,Credit card,53.84,810.21,1,0
2890,53.0,72.0,One year,Fiber optic,Yes,Mailed check,114.0,8018.17,0,0
1886,54.0,25.0,Month-to-month,Fiber optic,Yes,Credit card,53.47,1336.48,6,0
2828,44.0,10.0,Month-to-month,DSL,No,Bank transfer,50.74,518.93,2,1
2133,52.0,3.0,Month-to-month,Fiber optic,Yes,Credit card,57.41,159.43,2,1
1580,50.0,61.0,Two year,Fiber optic,No,Electronic check,26.43,1673.61,1,0
1826,69.0,34.0,Month-to-month,Fiber optic,No,Bank transfer,71.55,2485.59,1,0
1529,31.0,2.0,One year,No,Yes,Electronic check,39.0,76.07,0,0
2006,58.0,3.0,Month-to-month,No,No,Mailed check,58.06,191.28,0,1
1391,52.0,1.0,Month-to-month,DSL,No,Credit card,106.02,99.3,2,1
1083,37.0,24.0,Two year,No,No,Electronic check,85.5,2110.76,0,0
2492,37.0,40.0,Month-to-month,Fiber optic,No,Electronic check,67.11,2929.72,0,0
2835,50.0,17.0,Two year,DSL,No,Bank transfer,81.4,1371.52,1,1
1645,41.0,8.0,Two year,Fiber optic,No,Mailed check,35.51,,1,0
1484,34.0,28.0,Month-to-month,DSL,Yes,Bank transfer,53.85,1430.31,1,0
1874,45.0,29.0,Month-to-month,Fiber optic,Yes,Credit card,50.5,1642.78,1,0
2510,28.0,44.0,Month-to-month,DSL,No,Credit card,90.72,3934.86,1,0
1745,34.0,16.0,Two year,No,No,Bank transfer,48.86,855.67,1,1
2948,62.0,13.0,Month-to-month,Fiber optic,No,Electronic check,34.19,509.68,0,0
2750,18.0,11.0,Two year,Fiber optic,Yes,Credit card,38.65,374.4,1,0
2458,64.0,9.0,Two year,No,No,Mailed check,93.05,780.92,0,0
1985,28.0,7.0,One year,DSL,No,Electronic check,59.46,359.7,3,0
2908,27.0,24.0,Month-to-month,No,No,Electronic check,15.0,381.79,3,0
1526,21.0,18.0,Month-to-month,No,Yes,Electronic check,58.93,918.33,4,0
2077,39.0,6.0,Month-to-month,DSL,No,Credit card,106.63,551.52,5,1
2089,42.0,1.0,One year,Fiber optic,No,Bank transfer,71.28,60.67,3,0
2497,63.0,11.0,Month-to-month,DSL,Yes,Bank transfer,77.63,779.5,0,0
1563,40.0,6.0,Month-to-month,DSL,No,Bank transfer,46.33,287.27,3,1
2389,34.0,3.0,One year,DSL,No,Mailed check,15.0,39.87,1,0
1045,34.0,15.0,Month-to-month,DSL,No,Mailed check,71.67,1233.53,5,0
2031,20.0,14.0,Month-to-month,Fiber optic,No,Bank transfer,108.16,1717.85,1,1
1882,38.0,17.0,Two year,DSL,Yes,Credit card,97.37,1730.8,2,0
1145,57.0,12.0,Month-to-month,Fiber optic,No,Mailed check,61.95,797.5,2,1
1123,24.0,10.0,Month-to-month,No,No,Credit card,15.0,172.38,1,0
1370,45.0,11.0,Month-to-month,Fiber optic,No,Credit card,46.71,590.56,1,1
1795,61.0,3.0,Two year,No,Yes,Mailed check,54.89,155.77,1,0
2703,62.0,1.0,Month-to-month,DSL,Yes,Electronic check,42.04,,0,0
2043,44.0,4.0,One year,DSL,Yes,Bank transfer,85.94,326.03,4,0
1231,48.0,5.0,Two year,Fiber optic,No,Bank transfer,71.73,307.48,0,0
1715,62.0,0.0,Month-to-month,Fiber optic,No,Bank transfer,25.05,0.0,1,0
1914,44.0,20.0,Month-to-month,DSL,Yes,Bank transfer,59.65,1302.05,1,0
1481,31.0,20.0,Month-to-month,No,No,Credit card,47.38,937.44,0,0
1877,48.0,19.0,Month-to-month,Fiber optic,No,Credit card,75.44,1342.26,3,1
2251,58.0,17.0,One year,No,Yes,Electronic check,66.89,1173.41,1,0
2682,31.0,24.0,Month-to-month,Fiber optic,No,Mailed check,35.01,823.51,2,0
2745,49.0,48.0,Month-to-month,DSL,No,Bank transfer,52.55,2667.77,4,0
2549,63.0,2.0,Month-to-month,Fiber optic,No,Mailed check,48.52,111.39,1,1
2398,63.0,22.0,Month-to-month,DSL,No,Electronic check,69.81,1484.87,3,0
2960,44.0,18.0,Two year,Fiber optic,No,Credit card,40.68,734.04,0,1
2949,44.0,3.0,Two year,DSL,No,Bank transfer,88.81,284.46,1,0
1232,46.0,1.0,Month-to-month,DSL,No,Mailed check,63.88,59.11,3,0
1964,44.0,72.0,Two year,No,No,Mailed check,63.02,3926.74,1,0
1999,54.0,13.0,One year,Fiber optic,No,Credit card,38.0,482.73,3,0
2572,49.0,7.0,Month-to-month,Fiber optic,Yes,Bank transfer,62.7,,4,0
1990,48.0,22.0,Month-to-month,DSL,Yes,Mailed check,70.24,1663.32,3,0
2680,51.0,13.0,Month-to-month,Fiber optic,Yes,Credit card,97.27,1372.49,0,0
2705,41.0,14.0,One year,DSL,No,Electronic check,60.77,872.27,2,0
1847,82.0,72.0,Month-to-month,DSL,Yes,Bank transfer,58.19,4429.65,1,0
2631,32.0,7.0,Month-to-month,DSL,Yes,Electronic check,65.34,452.73,3,0
1199,28.0,3.0,Month-to-month,No,Yes,Credit card,97.58,288.97,1,1
2988,35.0,11.0,One year,Fiber optic,No,Bank transfer,31.3,355.72,0,0
2191,25.0,17.0,Month-to-month,Fiber optic,No,Electronic check,72.29,1394.16,1,1
2560,45.0,44.0,One year,No,No,Credit card,121.9,5366.92,1,0
2928,62.0,11.0,Month-to-month,Fiber optic,No,Electronic check,34.01,343.11,1,0
2222,55.0,16.0,Month-to-month,No,No,Bank transfer,81.49,1307.29,1,1
2731,40.0,10.0,Month-to-month,Fiber optic,No,Bank transfer,35.04,397.15,1,0
2642,44.0,28.0,Month-to-month,Fiber optic,Yes,Bank transfer,38.6,1201.33,2,0
1825,67.0,22.0,Month-to-month,Fiber optic,No,Credit card,80.22,1905.57,3,0
1556,38.0,6.0,Month-to-month,Fiber optic,Yes,Electronic check,74.71,418.05,4,1
1984,45.0,8.0,One year,Fiber optic,Yes,Credit card,46.27,339.14,3,0
2532,50.0,24.0,Two year,Fiber optic,No,Bank transfer,58.56,1549.9,2,0
1695,40.0,24.0,Month-to-month,No,No,Electronic check,70.08,1608.66,1,0
2142,43.0,35.0,Month-to-month,Fiber optic,No,Bank transfer,38.85,1156.82,2,1
2786,40.0,10.0,Two year,No,No,Credit card,129.3,1419.28,5,1
1916,54.0,4.0,One year,Fiber optic,No,Electronic check,82.26,328.34,1,0
2741,42.0,32.0,Month-to-month,Fiber optic,Yes,Electronic check,58.63,1866.52,2,0
2884,45.0,13.0,Month-to-month,DSL,No,Bank transfer,60.75,887.53,1,1
2573,25.0,15.0,Month-to-month,DSL,No,Electronic check,65.4,1011.2,3,1
1268,38.0,14.0,Two year,No,Yes,Mailed check,46.9,637.59,0,0
1652,41.0,16.0,One year,DSL,Yes,Mailed check,50.25,802.42,3,0
1239,58.0,4.0,One year,DSL,Yes,Bank transfer,77.02,287.94,1,0
2348,24.0,3.0,Month-to-month,DSL,No,Electronic check,89.57,304.37,2,1
2544,36.0,13.0,Month-to-month,DSL,Yes,Bank transfer,25.44,295.49,3,1
2431,57.0,11.0,Two year,Fiber optic,No,Credit card,46.62,510.79,2,0
1821,66.0,24.0,Month-to-month,DSL,Yes,Bank transfer,63.47,1384.23,0,0
2437,69.0,53.0,Month-to-month,Fiber optic,No,Electronic check,53.99,2698.37,2,0
1803,38.0,11.0,Month-to-month,DSL,Yes,Electronic check,51.68,501.54,2,0
1284,77.0,3.0,Month-to-month,DSL,No,Mailed check,46.52,141.6,2,1
1575,18.0,12.0,Month-to-month,DSL,No,Electronic check,84.85,887.39,0,1
2125,28.0,2.0,One year,Fiber optic,No,Credit card,64.05,122.34,0,0
1426,31.0,10.0,One year,Fiber optic,No,Credit card,52.98,560.19,0,1
1732,51.0,12.0,Month-to-month,Fiber optic,No,Bank transfer,95.51,1116.65,2,1
1492,46.0,4.0,One year,DSL,Yes,Electronic check,106.97,481.31,0,0
2965,46.0,20.0,Month-to-month,No,No,Electronic check,28.73,550.55,1,0
2857,,23.0,Two year,Fiber optic,Yes,Bank transfer,109.2,2831.68,2,0
1241,43.0,72.0,One year,No,Yes,Mailed check,51.79,3616.16,2,0
2368,38.0,26.0,One year,DSL,Yes,Mailed check,63.71,1450.55,1,0
1802,46.0,5.0,Month-to-month,Fiber optic,No,Bank transfer,73.11,334.72,1,1
1459,27.0,0.0,Month-to-month,DSL,No,Electronic check,74.83,0.0,1,1
2289,18.0,3.0,Month-to-month,Fiber optic,No,Mailed check,89.2,260.37,2,1
1600,56.0,31.0,Month-to-month,Fiber optic,Yes,Bank transfer,74.89,2155.3,2,0
1819,61.0,6.0,One year,DSL,No,Credit card,86.9,577.41,4,0
2593,59.0,3.0,Two year,No,No,Mailed check,74.19,203.18,2,0
1052,35.0,20.0,Two year,Fiber optic,No,Credit card,40.25,695.14,1,0
2199,65.0,11.0,Month-to-month,DSL,Yes,Credit card,60.74,675.36,5,1
2443,26.0,5.0,Month-to-month,FIBER OPTIC,No,Credit card,78.46,377.8,2,0
1157,52.0,33.0,Month-to-month,No,No,Mailed check,69.46,2323.57,3,0
2821,46.0,4.0,Two year,DSL,No,Credit card,51.91,223.42,2,0
2174,34.0,55.0,One year,Fiber optic,No,Mailed check,40.14,2364.51,4,0
1065,65.0,27.0,Two year,Fiber optic,No,Bank transfer,74.1,2298.74,3,0
2778,39.0,0.0,Month-to-month,DSL,Yes,Electronic check,52.78,0.0,1,0
2729,73.0,8.0,Month-to-month,Fiber optic,No,Electronic check,78.51,716.76,4,1
2037,23.0,8.0,Month-to-month,No,No,Electronic check,46.68,,2,0
1142,21.0,15.0,Month-to-month,Fiber optic,,Credit card,15.0,243.48,2,0
2807,53.0,19.0,Month-to-month,DSL,Yes,Mailed check,83.33,1352.81,2,0
2798,61.0,32.0,One year,DSL,Yes,Bank transfer,31.73,1120.82,4,0
1452,30.0,22.0,Month-to-month,DSL,No,Mailed check,24.6,463.04,3,0
2316,29.0,2.0,Month-to-month,No,No,Credit card,52.59,119.84,0,0
2176,20.0,9.0,Two year,No,No,Mailed check,35.42,361.28,1,0
1784,53.0,4.0,Two year,DSL,Yes,Credit card,89.86,350.22,2,0
1977,18.0,3.0,Month-to-month,Fiber optic,No,Credit card,34.27,91.91,2,0
2131,51.0,10.0,One year,DSL,Yes,Credit card,77.95,855.85,0,0
2622,59.0,4.0,Two year,Fiber optic,Yes,Bank transfer,60.62,244.85,1,0
1263,30.0,20.0,Month-to-month,DSL,Yes,Credit card,37.32,688.1,3,0
1365,39.0,68.0,One year,DSL,No,Mailed check,49.72,3031.79,0,0
1114,42.0,5.0,Month-to-month,Fiber optic,No,Mailed check,61.49,339.36,1,1
2444,51.0,28.0,One year,No,Yes,Credit card,82.89,2026.89,2,0
1721,19.0,23.0,Month-to-month,Fiber optic,Yes,Mailed check,21.36,441.62,3,0
2782,22.0,7.0,Two year,DSL,No,Bank transfer,37.59,227.06,2,0
2922,29.0,48.0,Month-to-month,Fiber optic,No,Mailed check,80.94,4438.0,3,0
2220,27.0,4.0,Month-to-month,No,Yes,Bank transfer,83.91,294.47,0,0
1468,37.0,26.0,Month-to-month,DSL,No,Electronic check,89.05,2467.0,0,0
1230,34.0,12.0,Month-to-month,Fiber optic,No,Electronic check,55.0,576.62,0,1
2068,38.0,16.0,One year,DSL,Yes,Credit card,71.15,1078.96,1,0
1494,68.0,2.0,Month-to-month,DSL,No,Mailed check,97.78,197.87,0,0
1799,45.0,5.0,Month-to-month,No,Yes,Bank transfer,79.63,384.46,2,1
2371,71.0,33.0,Month-to-month,Fiber optic,Yes,Electronic check,39.25,1293.24,0,0
1176,45.0,10.0,Two year,No,No,Electronic check,40.62,414.8,1,0
1117,27.0,7.0,Month-to-month,DSL,No,Mailed check,98.81,751.09,6,0
2336,36.0,43.0,Month-to-month,Fiber optic,No,Mailed check,53.79,2341.65,1,0
1786,58.0,44.0,Month-to-month,Fiber optic,No,Credit card,15.0,587.91,0,0
2825,52.0,10.0,Month-to-month,No,Yes,Mailed check,81.11,742.48,0,0
1853,63.0,2.0,One year,DSL,Yes,Electronic check,82.01,159.73,3,1
1275,52.0,5.0,Two year,DSL,No,Electronic check,46.79,229.38,2,1
1840,44.0,1.0,One year,No,No,Mailed check,20.47,19.2,2,0
2794,48.0,34.0,Month-to-month,Fiber optic,No,Electronic check,86.06,2786.51,2,1
2237,37.0,2.0,Two year,DSL,No,Bank transfer,84.95,147.65,1,0
2577,62.0,23.0,One year,DSL,Yes,Bank transfer,61.23,1316.23,1,0
1323,76.0,59.0,Month-to-month,Fiber optic,No,Bank transfer,43.88,2787.1,1,0
1226,46.0,16.0,Month-to-month,Fiber optic,No,Electronic check,55.43,870.92,1,0
2809,58.0,20.0,One year,DSL,No,Bank transfer,72.79,1320.87,1,0
1401,36.0,54.0,Two year,Fiber optic,No,Electronic check,53.22,3024.08,2,0
2477,51.0,35.0,Month-to-month,Fiber optic,No,Bank transfer,105.19,4130.38,1,0
2228,59.0,34.0,Two year,Fiber optic,No,Electronic check,80.69,2846.36,2,0
2657,65.0,13.0,Month-to-month,Fiber optic,Yes,Electronic check,26.03,338.53,1,0
1161,57.0,7.0,Two year,DSL,No,Mailed check,73.23,,1,0
2146,29.0,8.0,Month-to-month,Fiber optic,No,Electronic check,45.23,393.32,2,0
1143,48.0,18.0,Month-to-month,DSL,No,Electronic check,68.63,1164.79,1,0
1978,21.0,72.0,Month-to-month,Fiber optic,Yes,Bank transfer,101.3,8098.18,0,0
1376,58.0,9.0,Month-to-month,No,No,Mailed check,72.78,664.06,1,0
2488,22.0,72.0,One year,No,Yes,Credit card,73.36,4642.89,3,0
1076,46.0,9.0,One year,No,Yes,Mailed check,83.28,861.31,0,0
2698,53.0,6.0,Month-to-month,DSL,Yes,Electronic check,49.87,337.09,2,0
2696,30.0,11.0,One year,Fiber optic,No,Bank transfer,34.58,350.35,2,1
2054,37.0,4.0,One year,No,No,Credit card,80.93,297.52,3,0
2202,47.0,45.0,Two year,Fiber optic,No,Mailed check,62.13,2434.7,1,0
1068,50.0,9.0,Month-to-month,No,No,Mailed check,69.01,705.2,0,0
2973,48.0,17.0,Two year,DSL,Yes,Electronic check,83.67,1246.07,1,0
1844,47.0,44.0,One year,DSL,Yes,Mailed check,51.17,2197.43,4,0
2763,21.0,57.0,Month-to-month,Fiber optic,No,Mailed check,94.06,5349.93,0,0
1119,56.0,21.0,Month-to-month,Fiber optic,Yes,Credit card,65.99,1448.22,1,0
2144,42.0,30.0,One year,No,Yes,Bank transfer,72.27,1915.45,1,0
1069,35.0,6.0,Month-to-month,Fiber optic,Yes,Bank transfer,120.31,646.31,2,1
1082,67.0,20.0,Month-to-month,DSL,No,Bank transfer,36.42,814.91,0,0
1610,55.0,35.0,Month-to-month,Fiber optic,No,Electronic check,71.09,2496.28,2,0
1571,70.0,5.0,One year,No,Yes,Electronic check,77.0,350.69,0,0
2923,49.0,72.0,Month-to-month,Fiber optic,No,Bank transfer,71.47,4792.47,1,0
1662,45.0,3.0,Month-to-month,DSL,No,Bank transfer,70.24,215.51,0,1
2150,30.0,54.0,One year,No,Yes,Mailed check,77.97,4313.56,3,0
1093,40.0,2.0,Month-to-month,Fiber optic,No,Electronic check,95.73,219.96,2,0
2743,62.0,2.0,Month-to-month,DSL,Yes,Credit card,94.83,189.91,3,1
1696,50.0,24.0,Two year,FIBER OPTIC,No,Bank transfer,53.56,1316.15,1,0
2564,56.0,1.0,Month-to-month,No,Yes,Mailed check,43.27,37.47,0,0
1671,18.0,26.0,Month-to-month,Fiber optic,No,Bank transfer,57.83,1561.6,1,0
1356,45.0,15.0,Month-to-month,FIBER OPTIC,No,Bank transfer,78.44,1265.22,0,0
1464,43.0,7.0,One year,Fiber optic,No,Electronic check,39.51,240.37,2,0
2900,55.0,8.0,Two year,No,No,Mailed check,54.72,416.56,1,0
2305,32.0,56.0,One year,Fiber optic,No,Bank transfer,64.75,3715.21,2,0
1246,38.0,11.0,Month-to-month,Fiber optic,Yes,Electronic check,95.94,940.89,1,1
1154,49.0,3.0,Month-to-month,Fiber optic,Yes,Electronic check,40.12,123.58,2,0
1278,46.0,26.0,Month-to-month,Fiber optic,No,Bank transfer,68.5,1704.92,4,0
2998,43.0,0.0,Month-to-month,No,Yes,Credit card,94.65,0.0,3,0
2576,21.0,31.0,One year,Fiber optic,No,Electronic check,52.41,1382.55,1,0
1003,68.0,2.0,Two year,DSL,No,Bank transfer,28.01,59.94,5,0
2204,46.0,8.0,Month-to-month,DSL,No,Electronic check,61.25,550.75,2,0
2527,68.0,17.0,Two year,FIBER OPTIC,No,Bank transfer,50.26,916.61,2,0
1372,67.0,8.0,Month-to-month,Fiber optic,Yes,Mailed check,662.3000000000001,565.8,1,0
1835,49.0,6.0,Month-to-month,FIBER OPTIC,No,Mailed check,36.68,224.92,4,1
1240,33.0,60.0,Month-to-month,DSL,No,Bank transfer,59.94,4011.84,1,0
1002,55.0,9.0,Month-to-month,Fiber optic,No,Electronic check,122.59,995.72,3,1
1659,43.0,28.0,One year,DSL,Yes,Electronic check,63.56,1795.55,0,0
1606,33.0,12.0,Two year,Fiber optic,Yes,Bank transfer,92.43,1123.73,1,0
2116,81.0,16.0,One year,DSL,Yes,Mailed check,100.17,1574.54,1,0
2166,66.0,72.0,Month-to-month,No,No,Bank transfer,27.57,1849.41,0,0
1037,18.0,20.0,Month-to-month,No,No,Mailed check,84.1,1503.11,2,1
2570,57.0,3.0,Month-to-month,Fiber optic,No,Mailed check,71.83,243.54,1,0
2967,43.0,10.0,Two year,DSL,No,Bank transfer,91.22,929.08,5,0
2123,28.0,1.0,One year,DSL,No,Credit card,73.92,74.59,0,0
2362,47.0,1.0,One year,Fiber optic,No,Bank transfer,84.75,93.91,0,1
2216,35.0,14.0,Month-to-month,DSL,No,Mailed check,46.52,,2,0
2747,53.0,7.0,Month-to-month,No,No,Credit card,44.96,353.4,1,0
1455,33.0,20.0,Two year,FIBER OPTIC,No,Bank transfer,54.62,1013.93,2,0
1271,23.0,9.0,Two year,Fiber optic,No,Electronic check,45.27,458.1,0,1
2597,76.0,21.0,One year,DSL,No,Electronic check,70.35,1482.38,0,0
1344,38.0,29.0,Month-to-month,Fiber optic,No,Credit card,66.5,1918.02,2,1
1502,24.0,5.0,Month-to-month,Fiber optic,No,Electronic check,62.16,335.76,0,1
1649,55.0,42.0,Month-to-month,DSL,No,Electronic check,63.04,2387.65,1,0
2605,31.0,9.0,Month-to-month,DSL,No,Electronic check,54.28,493.84,0,0
1598,38.0,45.0,One year,DSL,Yes,Credit card,54.58,2432.09,0,0
2111,48.0,48.0,Month-to-month,DSL,No,Credit card,28.87,1191.92,1,0
2118,48.0,37.0,Month-to-month,Fiber optic,No,Credit card,88.88,3656.89,0,0
2484,48.0,2.0,Month-to-month,DSL,Yes,Mailed check,70.02,142.21,1,0
2256,70.0,6.0,Two year,No,No,Credit card,15.0,99.66,4,0
1085,37.0,4.0,One year,DSL,No,Credit card,66.82,,2,0
1861,22.0,1.0,Month-to-month,Fiber optic,No,Credit card,52.56,45.73,2,0
2026,46.0,44.0,Month-to-month,DSL,No,Credit card,93.65,4521.31,2,1
1615,47.0,14.0,Month-to-month,No,Yes,Electronic check,49.34,704.97,1,0
2913,53.0,15.0,Month-to-month,DSL,Yes,Bank transfer,30.45,391.05,0,0
2229,78.0,17.0,One year,DSL,Yes,Bank transfer,58.01,1022.51,2,0
1288,49.0,72.0,Month-to-month,Fiber optic,No,Mailed check,26.68,2025.36,1,0
2095,44.0,13.0,Two year,Fiber optic,No,Electronic check,81.63,1061.44,2,0
1729,33.0,13.0,Two year,FIBER OPTIC,Yes,Bank transfer,56.59,845.25,0,0
2066,26.0,9.0,One year,Fiber optic,No,Bank transfer,57.12,516.92,2,1
2495,75.0,19.0,Month-to-month,Fiber optic,No,Bank transfer,123.12,2228.31,2,0
1007,57.0,62.0,One year,No,Yes,Credit card,90.18,5697.94,0,0
2207,35.0,4.0,Two year,No,No,Electronic check,16.27,71.82,6,0
2862,57.0,2.0,Month-to-month,DSL,No,Mailed check,107.61,213.02,2,0
1470,41.0,1.0,Month-to-month,Fiber optic,Yes,Electronic check,83.75,87.43,2,0
2718,56.0,21.0,Month-to-month,DSL,,Credit card,46.03,1034.88,0,0
2878,20.0,5.0,One year,DSL,No,Electronic check,56.83,247.16,1,0
